page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
7,8,,Account,36.75,73.52269744873047,55.136348724365234,label,validate_anchor_row_relaxed,,x0,,
7,8,0,Account,36.75,73.52269744873047,55.136348724365234,label,anchor,account_number_display,x0,,
7,8,,#,75.861328125,81.66632843017578,78.76382827758789,label,validate_anchor_row_relaxed,,x0,,
7,8,1,#,75.861328125,81.66632843017578,78.76382827758789,label,anchor,account_number_display,x0,,
7,8,,942023*******,172.875,238.3904266357422,205.6327133178711,tu,validate_anchor_row_relaxed,,x0,,
7,8,2,942023*******,172.875,238.3904266357422,205.6327133178711,tu,anchor,account_number_display,x0,,
7,8,,942023*******,309.0,374.51544189453125,341.7577209472656,xp,validate_anchor_row_relaxed,,x0,,
7,8,3,942023*******,309.0,374.51544189453125,341.7577209472656,xp,anchor,account_number_display,x0,,
7,8,,942023*******,445.125,510.64044189453125,477.8827209472656,eq,validate_anchor_row_relaxed,,x0,,
7,8,4,942023*******,445.125,510.64044189453125,477.8827209472656,eq,anchor,account_number_display,x0,,
7,8,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
7,8,,#,75.861328125,81.66632843017578,78.76382827758789,label,band,,x0,,
7,8,,942023*******,172.875,238.3904266357422,205.6327133178711,tu,band,,x0,,
7,8,,942023*******,309.0,374.51544189453125,341.7577209472656,xp,band,,x0,,
7,8,,942023*******,445.125,510.64044189453125,477.8827209472656,eq,band,,x0,,
7,8,,#,75.861328125,81.66632843017578,78.76382827758789,label,in_label_band,,x0,,
7,8,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_number_display,x0,,
7,8,1,#,75.861328125,81.66632843017578,78.76382827758789,label,labeled,account_number_display,x0,,
7,8,2,942023*******,172.875,238.3904266357422,205.6327133178711,tu,labeled,account_number_display,x0,,
7,8,3,942023*******,309.0,374.51544189453125,341.7577209472656,xp,labeled,account_number_display,x0,,
7,8,4,942023*******,445.125,510.64044189453125,477.8827209472656,eq,labeled,account_number_display,x0,,
7,9,,High,36.75,57.380287170410156,47.06514358520508,label,heading_check,,x0,,
7,9,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,heading_check,,x0,,
7,9,,"$108,415",172.875,210.7618408203125,191.81842041015625,tu,heading_check,,x0,,
7,9,,High,36.75,57.380287170410156,47.06514358520508,label,band,,x0,,
7,9,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,band,,x0,,
7,9,,"$108,415",172.875,210.7618408203125,191.81842041015625,tu,band,,x0,,
7,9,,"$108,415",309.0,346.8868408203125,327.94342041015625,xp,band,,x0,,
7,9,,"$108,415",445.125,483.0118408203125,464.06842041015625,eq,band,,x0,,
7,9,0,High,36.75,57.380287170410156,47.06514358520508,label,labeled,high_balance,x0,,
7,9,1,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,labeled,high_balance,x0,,
