page,line,token,text,x0,x1,mid_x,band,phase,label_key,used_axis,reassigned_from,wrap_affinity
15,10,,Account,36.75,73.52269744873047,55.136348724365234,label,validate_anchor_row_relaxed,,x0,,
15,10,0,Account,36.75,73.52269744873047,55.136348724365234,label,anchor,account_number_display,x0,,
15,10,,#,75.861328125,81.66632843017578,78.76382827758789,label,validate_anchor_row_relaxed,,x0,,
15,10,1,#,75.861328125,81.66632843017578,78.76382827758789,label,anchor,account_number_display,x0,,
15,10,,414718******,172.875,233.4333953857422,203.1541976928711,tu,validate_anchor_row_relaxed,,x0,,
15,10,2,414718******,172.875,233.4333953857422,203.1541976928711,tu,anchor,account_number_display,x0,,
15,10,,414718****,309.0,359.64434814453125,334.3221740722656,xp,validate_anchor_row_relaxed,,x0,,
15,10,3,414718****,309.0,359.64434814453125,334.3221740722656,xp,anchor,account_number_display,x0,,
15,10,,414718**********,445.125,525.5115356445312,485.3182678222656,eq,validate_anchor_row_relaxed,,x0,,
15,10,4,414718**********,445.125,525.5115356445312,485.3182678222656,eq,anchor,account_number_display,x0,,
15,10,,Account,36.75,73.52269744873047,55.136348724365234,label,band,,x0,,
15,10,,#,75.861328125,81.66632843017578,78.76382827758789,label,band,,x0,,
15,10,,414718******,172.875,233.4333953857422,203.1541976928711,tu,band,,x0,,
15,10,,414718****,309.0,359.64434814453125,334.3221740722656,xp,band,,x0,,
15,10,,414718**********,445.125,525.5115356445312,485.3182678222656,eq,band,,x0,,
15,10,,#,75.861328125,81.66632843017578,78.76382827758789,label,in_label_band,,x0,,
15,10,0,Account,36.75,73.52269744873047,55.136348724365234,label,labeled,account_number_display,x0,,
15,10,1,#,75.861328125,81.66632843017578,78.76382827758789,label,labeled,account_number_display,x0,,
15,10,2,414718******,172.875,233.4333953857422,203.1541976928711,tu,labeled,account_number_display,x0,,
15,10,3,414718****,309.0,359.64434814453125,334.3221740722656,xp,labeled,account_number_display,x0,,
15,10,4,414718**********,445.125,525.5115356445312,485.3182678222656,eq,labeled,account_number_display,x0,,
15,11,,High,36.75,57.380287170410156,47.06514358520508,label,heading_check,,x0,,
15,11,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,heading_check,,x0,,
15,11,,"$11,374",172.875,205.6246337890625,189.24981689453125,label,heading_check,,x0,,
15,11,,$0,309.0,319.2672119140625,314.13360595703125,xp,heading_check,,x0,,
15,11,,High,36.75,57.380287170410156,47.06514358520508,label,band,,x0,,
15,11,,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,band,,x0,,
15,11,,"$11,374",172.875,205.6246337890625,189.24981689453125,label,band,,x0,,
15,11,,$0,309.0,319.2672119140625,314.13360595703125,xp,band,,x0,,
15,11,,"$10,792",445.125,477.8746337890625,461.49981689453125,eq,band,,x0,,
15,11,0,High,36.75,57.380287170410156,47.06514358520508,label,labeled,high_balance,x0,,
15,11,1,Balance:,59.72021484375,97.81060791015625,78.76541137695312,label,labeled,high_balance,x0,,
15,11,2,"$11,374",172.875,205.6246337890625,189.24981689453125,tu,labeled,high_balance,x0,,
15,11,3,$0,309.0,319.2672119140625,314.13360595703125,xp,labeled,high_balance,x0,,
15,11,4,"$10,792",445.125,477.8746337890625,461.49981689453125,eq,labeled,high_balance,x0,,
15,12,,Last,36.75,55.65013885498047,46.200069427490234,label,heading_check,,x0,,
15,12,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,heading_check,,x0,,
15,12,,5.8.2025,172.875,207.9801025390625,190.42755126953125,tu,heading_check,,x0,,
15,12,,Last,36.75,55.65013885498047,46.200069427490234,label,band,,x0,,
15,12,,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,band,,x0,,
15,12,,5.8.2025,172.875,207.9801025390625,190.42755126953125,tu,band,,x0,,
15,12,,--,309.0,314.7850036621094,311.8925018310547,xp,band,,x0,,
15,12,,--,445.125,450.9100036621094,448.0175018310547,eq,band,,x0,,
15,12,0,Last,36.75,55.65013885498047,46.200069427490234,label,labeled,last_verified,x0,,
15,12,1,Verified:,57.98876953125,95.79351806640625,76.89114379882812,label,labeled,last_verified,x0,,
15,12,2,5.8.2025,172.875,207.9801025390625,190.42755126953125,tu,labeled,last_verified,x0,,
15,12,3,--,309.0,314.7850036621094,311.8925018310547,xp,labeled,last_verified,x0,,
15,12,4,--,445.125,450.9100036621094,448.0175018310547,eq,labeled,last_verified,x0,,
15,13,,Date,36.75,58.064884185791016,47.40744209289551,label,heading_check,,x0,,
15,13,,of,60.41015625,69.46542358398438,64.93778991699219,label,heading_check,,x0,,
15,13,,Last,71.80517578125,90.70531463623047,81.25524520874023,label,heading_check,,x0,,
15,13,,Activity:,93.0439453125,129.99176025390625,111.51785278320312,label,heading_check,,x0,,
15,13,,17.2.2025,172.875,213.1173095703125,192.99615478515625,tu,heading_check,,x0,,
15,13,,Date,36.75,58.064884185791016,47.40744209289551,label,band,,x0,,
